mass_A
t	x	y
0.000000000E0	-3.493220115E1	3.246640723E0
1.676683513E-2	-3.497183478E1	3.235991616E0
3.353367026E-2	-3.506834373E1	3.121565300E0
5.030050540E-2	-3.497942090E1	3.227419227E0
6.706734053E-2	-3.495934327E1	3.243665495E0
8.383417566E-2	-3.493124122E1	3.234424495E0
1.006010108E-1	-3.490811503E1	3.219611087E0
1.173678459E-1	-3.485083065E1	3.274963274E0
1.341346811E-1	-3.481267515E1	3.263335482E0
1.509015162E-1	-3.493107758E1	3.225884150E0
1.676683513E-1	-3.496433011E1	3.225460397E0
1.844351864E-1	-3.495288746E1	3.228158646E0
2.012020216E-1	-3.490575477E1	3.195552018E0
2.179688567E-1	-3.491529648E1	3.209854185E0
2.347356918E-1	-3.491850867E1	3.215373609E0
2.515025270E-1	-3.482479726E1	3.233932385E0
2.682693621E-1	-3.480067603E1	3.233747433E0
2.850361972E-1	-3.479392044E1	3.235070690E0
3.018030324E-1	-3.481965019E1	3.259239453E0
3.185698675E-1	-3.480442331E1	3.252937726E0
3.353367026E-1	-3.479660767E1	3.251099520E0
3.521035378E-1	-3.479204912E1	3.247701808E0
3.688703729E-1	-3.482618161E1	3.236204813E0
3.856372080E-1	-3.476576836E1	3.233861198E0
4.024040432E-1	-3.473718730E1	3.212951192E0
4.191708783E-1	-3.471580639E1	3.225557871E0
4.359377134E-1	-3.474916599E1	3.226508587E0
4.527045486E-1	-3.477279344E1	3.242103857E0
4.694713837E-1	-3.486825920E1	3.192648079E0
4.862382188E-1	-3.492179911E1	3.214260525E0
5.030050540E-1	-3.492429250E1	3.221204760E0
5.197718891E-1	-3.482701546E1	3.248906869E0
5.365387242E-1	-3.479042722E1	3.329249550E0
5.533055593E-1	-3.478670361E1	3.351576563E0
5.700723945E-1	-3.478367695E1	3.363506633E0
5.868392296E-1	-3.479616323E1	3.374570315E0
6.036060647E-1	-3.479026894E1	3.379152033E0
6.203728999E-1	-3.478694762E1	3.383034670E0
6.371397350E-1	-3.479649463E1	3.380160824E0
6.539065701E-1	-3.479138702E1	3.383819394E0
6.706734053E-1	-3.478854222E1	3.385968530E0
6.874402404E-1	-3.478709681E1	3.386752385E0
7.042070755E-1	-3.477603114E1	3.393493115E0
7.209739107E-1	-3.475909179E1	3.400833370E0
7.377407458E-1	-3.476437518E1	3.398697405E0
7.545075809E-1	-3.476586255E1	3.397951605E0
7.712744161E-1	-3.477647734E1	3.384151426E0
7.880412512E-1	-3.477517782E1	3.386936705E0
8.048080863E-1	-3.477376599E1	3.434805900E0
8.215749215E-1	-3.473982269E1	3.469224334E0
8.383417566E-1	-3.461521453E1	3.536622926E0
8.551085917E-1	-3.444659053E1	3.675101097E0
8.718754269E-1	-3.401835676E1	3.807020432E0
8.886422620E-1	-3.334527601E1	3.825567917E0
9.054090971E-1	-3.247010310E1	3.882510526E0
9.221759322E-1	-3.135319301E1	3.938849621E0
9.389427674E-1	-2.993571860E1	3.913435637E0
9.557096025E-1	-2.828937759E1	3.884861544E0
9.724764376E-1	-2.638099718E1	4.010672802E0
9.892432728E-1	-2.423946273E1	4.049182869E0
1.006010108E0	-2.189996948E1	4.164797217E0
1.022776943E0	-1.935573739E1	4.240731227E0
1.039543778E0	-1.650209533E1	4.215545163E0
1.056310613E0	-1.344924044E1	4.287838143E0
1.073077448E0	-1.023776295E1	4.270201516E0
1.089844284E0	-6.778907175E0	4.381503527E0
1.106611119E0	-2.938124069E0	4.427627411E0
1.123377954E0	9.836128686E-1	4.523603117E0
1.140144789E0	2.691908657E0	4.458495424E0
1.156911624E0	2.744063708E0	2.672909570E0
1.173678459E0	3.311054567E0	2.430254328E0
1.190445294E0	3.335299731E0	2.230702048E0
1.207212129E0	3.295025809E0	2.101957680E0
1.223978965E0	3.666896701E0	2.061255058E0
1.240745800E0	3.510842449E0	1.893260359E0
1.257512635E0	3.296831907E0	1.738781659E0
1.274279470E0	-5.183166688E1	-1.647012282E1
1.291046305E0	-5.690946529E1	-1.888364413E1
1.307813140E0	-6.201980853E1	-2.130234918E1
1.324579975E0	-6.657316437E1	-2.370390912E1
1.341346811E0	-7.085253697E1	-2.601637933E1
1.358113646E0	-7.477248060E1	-2.835430120E1
1.374880481E0	-7.836347970E1	-3.066815592E1
1.391647316E0	-8.188345121E1	-3.297240499E1
1.408414151E0	-8.505981902E1	-3.526874488E1
1.425180986E0	-8.786324975E1	-3.746221133E1
1.441947821E0	-9.043543235E1	-3.952381826E1
1.458714656E0	-9.294113051E1	-4.173249056E1
1.475481492E0	-9.510613051E1	-4.402422568E1
1.492248327E0	-9.700350691E1	-4.613304857E1
1.509015162E0	-9.872727519E1	-4.837065565E1
1.525781997E0	-1.001384024E2	-5.059726765E1
1.542548832E0	-1.011094120E2	-5.258174146E1
1.559315667E0	-1.018837003E2	-5.458533564E1
1.576082502E0	-1.025068673E2	-5.690806502E1
1.592849338E0	-1.028288423E2	-5.909320484E1
1.609616173E0	-1.029642465E2	-6.118027254E1
1.626383008E0	-1.028204156E2	-6.329874428E1
1.643149843E0	-1.024893371E2	-6.540131096E1
1.659916678E0	-1.019002671E2	-6.744765645E1
1.676683513E0	-1.011345318E2	-6.946532867E1
1.693450348E0	-1.001027222E2	-7.141831658E1
1.710217183E0	-9.880623469E1	-7.342757226E1
1.726984019E0	-9.718511461E1	-7.560960032E1
1.743750854E0	-9.537206002E1	-7.775126113E1
1.760517689E0	-9.336509353E1	-7.976187509E1
1.777284524E0	-9.102060606E1	-8.183204033E1
1.794051359E0	-8.850307628E1	-8.386709995E1
1.810818194E0	-8.580720915E1	-8.592121847E1
1.827585029E0	-8.285590956E1	-8.803778257E1
1.844351864E0	-7.980532410E1	-9.019650818E1
1.861118700E0	-7.653307556E1	-9.218832039E1
1.877885535E0	-7.289821702E1	-9.412853946E1
1.894652370E0	-6.900716155E1	-9.617541229E1
1.911419205E0	-6.491274612E1	-9.829444230E1
1.928186040E0	-6.054612606E1	-1.003697806E2
1.944952875E0	-5.622683501E1	-1.023334934E2
1.961719710E0	-5.420483364E1	-1.025922537E2
