x	y
-0.0192	0.0101
-0.0195	0.0615
-0.0194	0.115
-0.0229	0.184
-0.0211	0.256
-0.0485	0.350
0.0070	0.446
0.0034	0.546
0.0085	0.648
0.0153	0.605
0.0125	0.490
0.0064	0.396
-0.0162	0.301
-0.0198	0.088
-0.0204	0.154
-0.0214	0.220
0.0183	0.022
0.0203	0.065
0.0098	0.128
-0.005	0.188
-0.0029	0.261
0.012	0.352
0.0201	0.445
0.014	0.547
0.0206	0.649
0.0264	0.604
0.0273	0.491
0.0204	0.397
0.0032	0.299
0.0168	0.097
0.0025	0.163
-0.004	0.228
-0.011	0.017
-0.012	0.095
-0.011	0.177
-0.013	0.265
-0.006	0.326
-0.002	0.713
-0.004	0.562
0.0163	0.017
0.0115	0.096
0.0096	0.179
0.0099	0.266
0.0099	0.326
0.0019	0.713
0.0023	0.563
-0.008	0.006
-0.010	0.043
-0.005	0.100
-0.003	0.202
0.0030	0.274
0.0032	0.371
0.0102	0.455
0.0113	0.569
-0.006	0.625
-0.009	0.669
0.0095	0.007
0.0078	0.046
0.0069	0.102
0.0068	0.203
0.0161	0.275
0.0143	0.371
0.0207	0.456
0.0220	0.571
0.0040	0.626
0.0009	0.670
